Country,X,Y
Hong Kong,0.0,3.869286287089014e-05
Hong Kong,0.0045045045045045045,3.869286287089014e-05
Hong Kong,0.009009009009009009,3.869286287089014e-05
Hong Kong,0.013513513513513514,3.869286287089014e-05
Hong Kong,0.018018018018018018,3.869286287089014e-05
Hong Kong,0.02252252252252252,3.869286287089014e-05
Hong Kong,0.02702702702702703,0.00044406575781876504
Hong Kong,0.03153153153153153,0.00044406575781876504
Hong Kong,0.036036036036036036,0.00044406575781876504
Hong Kong,0.04054054054054054,0.0013833867949746058
Hong Kong,0.04504504504504504,0.0013833867949746058
Hong Kong,0.04954954954954955,0.0013833867949746058
Hong Kong,0.05405405405405406,0.0013833867949746058
Hong Kong,0.05855855855855856,0.00268511093290564
Hong Kong,0.06306306306306306,0.0034648489708634057
Hong Kong,0.06756756756756757,0.004836607858861267
Hong Kong,0.07207207207207207,0.006940056134723336
Hong Kong,0.07657657657657657,0.008724204758086072
Hong Kong,0.08108108108108109,0.008724204758086072
Hong Kong,0.08558558558558559,0.010841486233627372
Hong Kong,0.09009009009009009,0.011835939588345362
Hong Kong,0.0945945945945946,0.011835939588345362
Hong Kong,0.0990990990990991,0.011835939588345362
Hong Kong,0.1036036036036036,0.015331662657043572
Hong Kong,0.10810810810810811,0.016975541299117883
Hong Kong,0.11261261261261261,0.01848750334135258
Hong Kong,0.11711711711711711,0.01848750334135258
Hong Kong,0.12162162162162163,0.026966385993049985
Hong Kong,0.12612612612612611,0.026966385993049985
Hong Kong,0.13063063063063063,0.027619620422346967
Hong Kong,0.13513513513513514,0.028168938786420742
Hong Kong,0.13963963963963963,0.028168938786420742
Hong Kong,0.14414414414414414,0.030023857257417803
Hong Kong,0.14864864864864866,0.030904303662122427
Hong Kong,0.15315315315315314,0.031751069232825446
Hong Kong,0.15765765765765766,0.03276650628174285
Hong Kong,0.16216216216216217,0.03477512697139802
Hong Kong,0.16666666666666666,0.03477512697139802
Hong Kong,0.17117117117117117,0.03635291365944934
Hong Kong,0.17567567567567569,0.03716045175086875
Hong Kong,0.18018018018018017,0.03716045175086875
Hong Kong,0.18468468468468469,0.04116553060678963
Hong Kong,0.1891891891891892,0.04978855920876771
Hong Kong,0.19369369369369369,0.052897019513499066
Hong Kong,0.1981981981981982,0.058690457097032876
Hong Kong,0.20270270270270271,0.058690457097032876
Hong Kong,0.2072072072072072,0.06141098636728148
Hong Kong,0.21171171171171171,0.06141098636728148
Hong Kong,0.21621621621621623,0.06355994386527666
Hong Kong,0.22072072072072071,0.06355994386527666
Hong Kong,0.22522522522522523,0.06801978080727078
Hong Kong,0.22972972972972974,0.07291519647153168
Hong Kong,0.23423423423423423,0.07508520449077787
Hong Kong,0.23873873873873874,0.07996865811280407
Hong Kong,0.24324324324324326,0.08521658647420476
Hong Kong,0.24774774774774774,0.0870224538893344
Hong Kong,0.25225225225225223,0.08867101042502004
Hong Kong,0.25675675675675674,0.09033400160384923
Hong Kong,0.26126126126126126,0.09205513231756215
Hong Kong,0.26576576576576577,0.09205513231756215
Hong Kong,0.2702702702702703,0.09447901630580059
Hong Kong,0.2747747747747748,0.09970208500400962
Hong Kong,0.27927927927927926,0.10222300187115745
Hong Kong,0.28378378378378377,0.1064971932638332
Hong Kong,0.2882882882882883,0.11390417000801925
Hong Kong,0.2927927927927928,0.11639140604116546
Hong Kong,0.2972972972972973,0.12235130981021117
Hong Kong,0.30180180180180183,0.128726009088479
Hong Kong,0.3063063063063063,0.128726009088479
Hong Kong,0.3108108108108108,0.128726009088479
Hong Kong,0.3153153153153153,0.13434776797647688
Hong Kong,0.31981981981981983,0.13542816091954024
Hong Kong,0.32432432432432434,0.13701750868751672
Hong Kong,0.32882882882882886,0.14345489174017642
Hong Kong,0.3333333333333333,0.14535137663726277
Hong Kong,0.33783783783783783,0.1470260625501203
Hong Kong,0.34234234234234234,0.15038218390804597
Hong Kong,0.34684684684684686,0.15278775728414862
Hong Kong,0.35135135135135137,0.15798135525260626
Hong Kong,0.35585585585585583,0.1604184709970596
Hong Kong,0.36036036036036034,0.1604184709970596
Hong Kong,0.36486486486486486,0.1604184709970596
Hong Kong,0.36936936936936937,0.16266132050253942
Hong Kong,0.3738738738738739,0.17363331996792303
Hong Kong,0.3783783783783784,0.17363331996792303
Hong Kong,0.38288288288288286,0.1762620288692863
Hong Kong,0.38738738738738737,0.1762620288692863
Hong Kong,0.3918918918918919,0.1762620288692863
Hong Kong,0.3963963963963964,0.1762620288692863
Hong Kong,0.4009009009009009,0.1762620288692863
Hong Kong,0.40540540540540543,0.17907878909382519
Hong Kong,0.4099099099099099,0.17907878909382519
Hong Kong,0.4144144144144144,0.18371291098636727
Hong Kong,0.4189189189189189,0.18626784282277467
Hong Kong,0.42342342342342343,0.1896381983426891
Hong Kong,0.42792792792792794,0.1896381983426891
Hong Kong,0.43243243243243246,0.20090891472868216
Hong Kong,0.4369369369369369,0.20587824111200215
Hong Kong,0.44144144144144143,0.21522747928361402
Hong Kong,0.44594594594594594,0.21830172413793103
Hong Kong,0.45045045045045046,0.22376022453889335
Hong Kong,0.45495495495495497,0.23073476343223737
Hong Kong,0.4594594594594595,0.23073476343223737
Hong Kong,0.46396396396396394,0.23073476343223737
Hong Kong,0.46846846846846846,0.2346480887463245
Hong Kong,0.47297297297297297,0.24144780807270783
Hong Kong,0.4774774774774775,0.249221932638332
Hong Kong,0.481981981981982,0.249221932638332
Hong Kong,0.4864864864864865,0.2524063084736701
Hong Kong,0.49099099099099097,0.2570918871959369
Hong Kong,0.4954954954954955,0.2570918871959369
